TransactionAmount,TransactionType,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
55.32,Debit,ATM,19.0,Student,117.0,1.0,241.79,0
304.31,Debit,Branch,27.0,Student,33.0,1.0,868.61,1
435.27,Debit,Branch,74.0,Retired,90.0,1.0,4673.28,1
164.49,Debit,Branch,26.0,Student,75.0,1.0,1509.27,1
510.24,Debit,Online,19.0,Student,105.0,1.0,781.7,3
626.9,Debit,Online,26.0,Student,138.0,1.0,265.51,3
22.01,Credit,Online,41.0,Engineer,175.0,1.0,1335.09,3
425.34,Credit,Online,69.0,Retired,121.0,1.0,3907.54,3
424.56,Debit,Online,51.0,Engineer,264.0,1.0,5183.85,3
85.43,Debit,Branch,67.0,Doctor,145.0,1.0,14904.9,1
169.5,Debit,Branch,28.0,Student,142.0,1.0,918.88,1
104.63,Debit,ATM,62.0,Retired,90.0,1.0,4477.78,0
316.95,Debit,Branch,25.0,Student,83.0,1.0,1324.03,1
60.54,Credit,Branch,57.0,Retired,52.0,1.0,3534.93,1
292.56,Credit,Branch,68.0,Retired,61.0,1.0,4638.37,1
386.52,Debit,Branch,48.0,Engineer,28.0,1.0,5630.61,1
112.07,Debit,Branch,23.0,Student,51.0,1.0,930.3,1
568.52,Debit,ATM,46.0,Engineer,152.0,1.0,5499.91,0
263.99,Debit,Branch,79.0,Retired,227.0,2.0,4175.02,1
349.64,Debit,Online,48.0,Engineer,226.0,1.0,6651.62,3
601.4,Credit,Branch,56.0,Engineer,104.0,1.0,8458.29,1
5.77,Debit,Online,50.0,Doctor,124.0,1.0,13988.12,3
201.33,Credit,Branch,42.0,Engineer,186.0,1.0,2585.07,1
298.42,Debit,Branch,56.0,Retired,225.0,1.0,3014.75,1
521.06,Debit,Branch,25.0,Student,128.0,1.0,1951.42,1
117.28,Credit,Online,60.0,Engineer,16.0,1.0,3665.77,3
133.55,Debit,ATM,44.0,Engineer,220.0,1.0,3846.28,0
143.21,Debit,Online,35.0,Engineer,135.0,1.0,6374.82,3
24.77,Debit,ATM,62.0,Retired,55.0,1.0,5866.01,0
233.92,Credit,Online,26.0,Student,280.0,1.0,6537.62,3
1212.51,Debit,Branch,20.0,Student,24.0,1.0,605.95,1
232.12,Debit,ATM,37.0,Engineer,51.0,1.0,6689.87,0
91.53,Debit,Branch,44.0,Doctor,69.0,1.0,14676.05,1
120.29,Debit,Branch,19.0,Student,77.0,1.0,1362.39,1
174.25,Debit,Online,50.0,Doctor,67.0,1.0,10528.34,3
183.71,Debit,ATM,38.0,Engineer,102.0,1.0,552.52,0
922.55,Debit,ATM,63.0,Retired,87.0,1.0,4715.84,0
259.91,Debit,Online,49.0,Doctor,170.0,1.0,7176.86,3
154.71,Debit,Online,34.0,Doctor,157.0,1.0,1523.72,3
1340.19,Credit,Online,54.0,Engineer,30.0,1.0,8654.28,3
24.56,Debit,Branch,64.0,Doctor,69.0,1.0,9869.93,1
9.61,Credit,Online,58.0,Doctor,179.0,1.0,12883.91,3
392.96,Debit,Online,24.0,Student,100.0,1.0,791.65,3
716.93,Credit,Online,60.0,Retired,34.0,1.0,4064.02,3
223.85,Debit,ATM,53.0,Engineer,55.0,4.0,2929.91,2
230.66,Debit,Branch,21.0,Student,135.0,1.0,618.05,1
644.17,Debit,ATM,29.0,Engineer,72.0,1.0,1143.52,0
508.68,Credit,Branch,51.0,Engineer,127.0,1.0,7708.41,1
858.63,Credit,Branch,27.0,Student,185.0,1.0,1872.96,1
25.36,Debit,ATM,57.0,Engineer,78.0,1.0,201.04,0
147.62,Debit,Branch,71.0,Retired,133.0,1.0,2115.8,1
115.02,Debit,Branch,37.0,Doctor,175.0,1.0,7643.66,1
383.37,Debit,Branch,30.0,Engineer,24.0,1.0,8901.93,1
98.54,Credit,Online,20.0,Student,167.0,1.0,9383.43,3
196.16,Debit,Branch,27.0,Engineer,146.0,1.0,9418.86,1
129.94,Debit,ATM,32.0,Engineer,235.0,1.0,7954.92,0
306.9,Debit,Online,46.0,Engineer,51.0,1.0,9418.08,3
114.98,Debit,Online,59.0,Retired,80.0,1.0,6144.68,3
756.59,Debit,Branch,27.0,Student,17.0,1.0,420.65,1
503.76,Debit,Online,22.0,Student,35.0,1.0,447.82,3
143.03,Debit,ATM,63.0,Retired,147.0,1.0,7981.45,0
1045.22,Debit,ATM,53.0,Retired,73.0,1.0,1829.9,0
254.37,Credit,Online,51.0,Engineer,174.0,1.0,8849.26,3
213.76,Credit,ATM,78.0,Retired,282.0,1.0,3528.72,0
327.86,Debit,Online,40.0,Engineer,104.0,1.0,480.16,3
2.5,Debit,Online,47.0,Doctor,107.0,1.0,12145.27,3
300.08,Credit,Online,68.0,Doctor,47.0,1.0,13546.75,3
56.98,Credit,ATM,43.0,Engineer,122.0,2.0,5688.37,0
407.65,Debit,Online,26.0,Engineer,62.0,1.0,8346.64,3
115.83,Debit,Branch,39.0,Engineer,167.0,1.0,6481.04,1
53.57,Debit,ATM,69.0,Retired,121.0,1.0,1651.33,0
63.34,Credit,Online,46.0,Doctor,165.0,1.0,11174.94,3
317.87,Debit,Online,27.0,Student,91.0,1.0,145.5,3
331.65,Debit,Online,41.0,Engineer,61.0,1.0,4172.57,3
5.04,Debit,ATM,56.0,Retired,41.0,1.0,5558.36,0
214.54,Credit,Online,70.0,Doctor,247.0,1.0,11151.53,3
598.81,Debit,Branch,57.0,Doctor,158.0,1.0,1415.52,1
841.28,Debit,Online,26.0,Student,80.0,1.0,1103.64,3
38.15,Debit,Online,26.0,Student,108.0,1.0,303.68,3
1036.66,Debit,Branch,58.0,Doctor,144.0,1.0,5541.57,1
124.72,Debit,Branch,33.0,Engineer,105.0,1.0,6309.8,1
302.45,Credit,Branch,78.0,Retired,40.0,1.0,5133.61,1
208.04,Debit,Online,47.0,Engineer,273.0,1.0,9344.98,3
5.77,Credit,Branch,23.0,Student,254.0,1.0,1117.97,1
381.33,Debit,ATM,56.0,Doctor,75.0,1.0,11835.35,0
16.16,Debit,ATM,50.0,Doctor,124.0,1.0,14401.17,0
486.08,Debit,Online,18.0,Student,68.0,1.0,1748.69,3
336.39,Debit,Branch,21.0,Student,18.0,1.0,1000.46,1
997.43,Debit,Online,69.0,Doctor,118.0,1.0,6810.05,3
234.57,Debit,Online,23.0,Student,120.0,1.0,263.98,3
6.0,Debit,Online,30.0,Doctor,246.0,1.0,5442.76,3
1049.92,Debit,ATM,80.0,Retired,21.0,1.0,2037.85,0
227.14,Debit,ATM,18.0,Student,294.0,1.0,341.94,0
233.74,Credit,Online,66.0,Retired,17.0,1.0,1066.59,3
45.85,Debit,ATM,20.0,Student,92.0,1.0,1659.15,0
973.39,Debit,Branch,77.0,Retired,296.0,1.0,2042.22,1
415.5,Debit,ATM,66.0,Doctor,141.0,1.0,10113.66,0
265.76,Debit,Online,54.0,Retired,92.0,1.0,4446.17,3
69.4,Debit,Online,80.0,Retired,113.0,1.0,6452.77,3
332.93,Credit,Branch,35.0,Engineer,293.0,1.0,2788.2,1
267.9,Debit,Online,20.0,Student,160.0,1.0,596.16,3
496.03,Debit,Branch,61.0,Doctor,265.0,1.0,12904.66,1
376.26,Debit,ATM,37.0,Engineer,245.0,1.0,9062.4,0
83.02,Credit,Online,36.0,Engineer,171.0,1.0,9009.56,3
93.26,Credit,Online,20.0,Student,72.0,1.0,1152.2,3
803.37,Credit,Branch,68.0,Doctor,129.0,1.0,12168.37,1
35.76,Debit,Branch,23.0,Student,122.0,1.0,611.86,1
28.53,Debit,Online,62.0,Doctor,99.0,1.0,8670.53,3
139.53,Credit,Online,53.0,Doctor,177.0,1.0,10098.86,3
307.57,Debit,Branch,33.0,Doctor,285.0,1.0,5307.74,1
60.65,Credit,Branch,56.0,Retired,53.0,1.0,1047.28,1
74.86,Debit,Branch,70.0,Doctor,125.0,1.0,6921.48,1
231.91,Debit,ATM,34.0,Engineer,165.0,1.0,112.76,0
126.21,Debit,Branch,75.0,Retired,268.0,1.0,5669.66,1
506.28,Credit,Online,53.0,Retired,162.0,2.0,1309.95,3
304.35,Debit,Branch,31.0,Engineer,36.0,1.0,4057.1,1
281.85,Debit,ATM,22.0,Student,109.0,1.0,1585.98,0
777.88,Debit,Branch,31.0,Engineer,17.0,1.0,6825.55,1
119.18,Debit,Branch,56.0,Retired,96.0,1.0,5516.5,1
177.19,Debit,Online,76.0,Retired,43.0,1.0,5343.3,3
260.88,Debit,Branch,22.0,Student,36.0,1.0,903.05,1
169.47,Debit,Online,24.0,Student,19.0,1.0,1806.16,3
73.23,Debit,Branch,26.0,Student,14.0,1.0,787.74,1
1362.55,Debit,ATM,29.0,Engineer,106.0,1.0,2429.68,0
792.57,Debit,ATM,19.0,Student,164.0,1.0,770.37,0
237.06,Debit,Online,71.0,Retired,46.0,1.0,1182.77,3
34.17,Credit,Online,54.0,Engineer,54.0,1.0,726.55,3
740.25,Debit,Online,41.0,Doctor,123.0,1.0,14464.3,3
453.54,Debit,ATM,58.0,Doctor,82.0,1.0,12046.3,0
300.47,Debit,Branch,73.0,Retired,100.0,1.0,7885.64,1
110.93,Credit,Branch,19.0,Student,201.0,1.0,1952.35,1
201.69,Debit,ATM,59.0,Doctor,299.0,1.0,7328.52,0
399.21,Debit,ATM,59.0,Engineer,109.0,1.0,3210.39,0
1041.88,Debit,Online,78.0,Retired,57.0,1.0,5726.2,3
630.36,Debit,ATM,62.0,Retired,52.0,1.0,1363.65,0
10.94,Credit,ATM,60.0,Engineer,245.0,1.0,1241.99,0
215.9,Debit,ATM,38.0,Doctor,235.0,1.0,7873.28,0
1422.55,Debit,Branch,79.0,Retired,165.0,1.0,5674.32,1
444.89,Credit,Branch,43.0,Doctor,101.0,1.0,10328.23,1
280.57,Credit,Online,25.0,Student,24.0,1.0,293.24,3
488.54,Debit,Branch,52.0,Engineer,132.0,1.0,7486.63,1
3.3,Credit,Branch,50.0,Doctor,131.0,1.0,11385.37,1
20.36,Debit,Branch,62.0,Retired,75.0,1.0,2762.48,1
493.11,Debit,Branch,53.0,Retired,236.0,1.0,7432.99,1
307.41,Debit,ATM,19.0,Student,14.0,1.0,1057.0,0
11.18,Debit,Online,43.0,Doctor,161.0,1.0,5956.89,3
313.82,Debit,Branch,59.0,Engineer,151.0,1.0,7261.59,1
140.98,Debit,Branch,60.0,Engineer,100.0,1.0,8127.48,1
288.04,Debit,ATM,68.0,Retired,63.0,1.0,1748.02,0
800.55,Debit,ATM,31.0,Engineer,108.0,1.0,9660.22,0
485.54,Debit,ATM,46.0,Engineer,143.0,1.0,6371.51,0
521.15,Debit,ATM,54.0,Doctor,214.0,1.0,9442.47,0
304.93,Debit,ATM,65.0,Doctor,158.0,1.0,13531.22,0
694.2,Debit,ATM,61.0,Retired,72.0,1.0,1389.37,0
116.86,Debit,ATM,55.0,Engineer,171.0,1.0,6706.56,0
74.88,Debit,ATM,25.0,Student,202.0,1.0,420.67,0
890.24,Credit,Online,33.0,Engineer,161.0,1.0,5140.93,3
361.27,Debit,ATM,63.0,Doctor,180.0,1.0,7945.57,0
131.56,Debit,Branch,44.0,Doctor,42.0,1.0,5873.54,1
485.51,Credit,Online,76.0,Retired,37.0,1.0,3074.45,3
547.87,Debit,ATM,64.0,Retired,131.0,1.0,6155.76,0
457.3,Debit,Online,28.0,Engineer,15.0,1.0,8318.29,3
506.24,Debit,ATM,58.0,Engineer,64.0,1.0,230.09,0
486.59,Debit,Branch,57.0,Retired,119.0,1.0,2513.56,1
163.68,Debit,Branch,41.0,Doctor,292.0,1.0,10090.05,1
581.65,Debit,ATM,22.0,Student,176.0,1.0,480.19,0
52.01,Debit,ATM,48.0,Doctor,85.0,1.0,1120.88,0
630.24,Debit,ATM,21.0,Student,62.0,1.0,370.81,0
523.74,Debit,ATM,43.0,Doctor,159.0,1.0,13498.55,0
705.6,Debit,Branch,40.0,Doctor,124.0,3.0,14804.7,2
217.5,Credit,Branch,46.0,Engineer,35.0,1.0,3057.4,1
91.48,Debit,ATM,51.0,Doctor,141.0,1.0,14942.78,0
5.25,Debit,ATM,39.0,Doctor,49.0,1.0,14143.32,0
54.03,Credit,ATM,56.0,Retired,161.0,1.0,6736.3,0
736.73,Debit,Branch,48.0,Engineer,10.0,1.0,3313.07,1
33.06,Credit,Online,53.0,Retired,170.0,1.0,1540.87,3
66.5,Credit,Online,32.0,Engineer,144.0,1.0,6820.23,3
588.54,Debit,Branch,32.0,Engineer,130.0,1.0,714.45,1
173.5,Debit,ATM,21.0,Student,282.0,1.0,1306.91,0
78.33,Credit,Online,56.0,Engineer,189.0,1.0,7255.33,3
40.66,Debit,Branch,59.0,Retired,156.0,1.0,1153.84,1
97.22,Credit,Branch,77.0,Retired,55.0,1.0,6647.73,1
34.07,Debit,Branch,22.0,Student,81.0,1.0,8709.77,1
492.06,Debit,Online,23.0,Student,74.0,1.0,857.9,3
842.01,Credit,Online,53.0,Doctor,185.0,1.0,509.45,3
73.55,Debit,ATM,51.0,Engineer,158.0,1.0,2812.06,0
760.53,Debit,Online,57.0,Engineer,118.0,1.0,6179.91,3
371.69,Debit,Branch,67.0,Retired,143.0,1.0,3484.32,1
218.96,Debit,ATM,18.0,Student,13.0,1.0,754.21,0
227.39,Debit,Online,18.0,Student,65.0,1.0,751.09,3
237.99,Credit,Branch,39.0,Doctor,86.0,1.0,8510.09,1
186.6,Debit,Online,58.0,Doctor,13.0,1.0,1508.72,3
341.15,Debit,Online,18.0,Student,148.0,1.0,511.37,3
434.58,Debit,ATM,59.0,Doctor,215.0,1.0,12648.32,0
312.88,Credit,Branch,54.0,Engineer,44.0,1.0,233.21,1
75.15,Debit,ATM,23.0,Student,154.0,1.0,1092.92,0
23.3,Debit,ATM,59.0,Engineer,161.0,1.0,6711.15,0
47.38,Credit,Online,25.0,Student,61.0,1.0,459.37,3
512.81,Debit,Branch,79.0,Retired,30.0,1.0,6994.34,1
488.15,Debit,Branch,43.0,Engineer,168.0,1.0,7071.09,1
12.82,Debit,ATM,44.0,Engineer,156.0,1.0,9045.19,0
66.9,Credit,Online,79.0,Retired,129.0,4.0,5238.71,2
535.91,Debit,Online,43.0,Engineer,22.0,1.0,9642.12,3
270.72,Credit,Online,26.0,Engineer,53.0,1.0,6263.96,3
97.98,Debit,Branch,72.0,Retired,18.0,1.0,7460.33,1
196.08,Debit,Online,61.0,Retired,98.0,1.0,4233.82,3
251.18,Debit,ATM,42.0,Engineer,246.0,1.0,8303.9,0
44.52,Debit,Online,28.0,Student,205.0,1.0,314.28,3
178.87,Debit,Online,35.0,Doctor,180.0,1.0,5241.23,3
1176.28,Credit,ATM,54.0,Engineer,174.0,5.0,323.69,2
386.68,Debit,Branch,46.0,Doctor,128.0,1.0,6863.06,1
167.14,Debit,Online,76.0,Retired,20.0,1.0,3877.73,3
345.22,Debit,Branch,69.0,Retired,253.0,1.0,4046.58,1
74.85,Debit,ATM,72.0,Retired,117.0,1.0,2409.73,0
671.73,Debit,Branch,58.0,Engineer,54.0,1.0,5211.88,1
255.04,Debit,ATM,45.0,Engineer,152.0,1.0,6217.86,0
45.77,Debit,Online,25.0,Student,109.0,1.0,5978.12,3
329.69,Credit,Online,26.0,Student,66.0,1.0,1671.66,3
362.04,Credit,Branch,58.0,Doctor,198.0,2.0,8421.88,1
47.42,Debit,ATM,64.0,Doctor,28.0,1.0,8253.52,0
35.99,Debit,Branch,63.0,Retired,129.0,1.0,4489.79,1
151.19,Credit,Branch,37.0,Doctor,96.0,1.0,11903.82,1
242.62,Credit,Online,22.0,Student,234.0,1.0,483.02,3
48.72,Debit,Branch,21.0,Student,17.0,1.0,816.08,1
43.46,Debit,ATM,25.0,Student,80.0,1.0,578.06,0
1036.21,Debit,Online,25.0,Student,126.0,1.0,477.3,3
443.79,Debit,ATM,53.0,Retired,87.0,1.0,3133.85,0
365.14,Debit,Online,68.0,Retired,57.0,1.0,5894.09,3
757.41,Debit,ATM,22.0,Student,37.0,1.0,9532.42,0
20.54,Debit,Branch,51.0,Engineer,72.0,1.0,5327.03,1
475.36,Debit,ATM,34.0,Engineer,105.0,1.0,2000.6,0
34.74,Debit,ATM,56.0,Retired,24.0,1.0,6827.57,0
689.54,Debit,Branch,27.0,Student,93.0,1.0,1633.76,1
211.18,Debit,ATM,73.0,Retired,90.0,1.0,4069.17,0
211.36,Credit,Branch,51.0,Engineer,286.0,1.0,7943.47,1
744.41,Credit,Online,39.0,Engineer,107.0,1.0,8842.47,3
61.43,Debit,Online,24.0,Student,170.0,1.0,1882.77,3
167.44,Debit,Branch,37.0,Doctor,82.0,1.0,12526.71,1
361.46,Debit,Online,21.0,Student,83.0,1.0,4737.84,3
378.85,Debit,Branch,78.0,Retired,126.0,1.0,2300.53,1
241.11,Debit,Branch,30.0,Doctor,55.0,1.0,12385.05,1
131.93,Credit,Branch,31.0,Engineer,13.0,1.0,4547.06,1
20.28,Debit,Online,36.0,Engineer,213.0,1.0,2047.83,3
415.88,Debit,Branch,70.0,Doctor,170.0,1.0,10008.33,1
1221.65,Debit,Online,27.0,Student,153.0,1.0,243.92,3
100.66,Debit,Branch,50.0,Doctor,144.0,1.0,14473.33,1
485.54,Debit,Online,19.0,Student,148.0,1.0,1533.32,3
321.15,Debit,Branch,46.0,Doctor,179.0,1.0,7005.05,1
711.3,Debit,Branch,21.0,Student,51.0,1.0,955.4,1
12.23,Debit,ATM,42.0,Engineer,139.0,1.0,7844.88,0
350.94,Debit,ATM,20.0,Student,64.0,1.0,221.56,0
301.85,Debit,Online,54.0,Engineer,25.0,1.0,6586.19,3
29.34,Debit,Online,65.0,Retired,30.0,1.0,3944.82,3
231.71,Debit,Branch,27.0,Student,148.0,1.0,1127.98,1
179.43,Debit,ATM,58.0,Retired,244.0,1.0,2626.63,0
36.71,Debit,Branch,48.0,Doctor,55.0,1.0,6459.38,1
138.12,Credit,Branch,53.0,Doctor,281.0,1.0,1649.69,1
233.24,Debit,ATM,33.0,Engineer,72.0,1.0,6939.23,0
609.14,Debit,ATM,39.0,Engineer,177.0,1.0,9033.87,0
436.64,Debit,Branch,31.0,Doctor,111.0,1.0,14365.18,1
870.43,Debit,Branch,29.0,Doctor,55.0,1.0,10115.18,1
354.4,Debit,ATM,74.0,Retired,128.0,1.0,7358.65,0
22.63,Debit,Online,53.0,Engineer,112.0,1.0,4438.03,3
182.19,Debit,Branch,26.0,Student,53.0,1.0,1176.1,1
126.81,Debit,Branch,26.0,Engineer,290.0,1.0,5427.98,1
288.17,Debit,Online,37.0,Engineer,50.0,1.0,3653.11,3
118.77,Debit,Branch,55.0,Engineer,123.0,1.0,2104.82,1
651.82,Debit,ATM,21.0,Student,166.0,1.0,1802.77,0
66.65,Debit,ATM,37.0,Engineer,33.0,1.0,3559.96,0
98.53,Debit,Branch,69.0,Retired,166.0,1.0,3564.8,1
138.95,Debit,Online,71.0,Retired,30.0,1.0,6752.92,3
33.89,Debit,Branch,26.0,Student,177.0,1.0,1444.75,1
23.71,Debit,Branch,58.0,Doctor,164.0,1.0,10788.89,1
1830.0,Debit,Online,55.0,Engineer,238.0,1.0,2235.7,3
26.06,Debit,ATM,65.0,Doctor,283.0,1.0,12893.63,0
17.07,Debit,Branch,27.0,Engineer,44.0,1.0,2798.15,1
703.89,Debit,Online,46.0,Engineer,62.0,1.0,3583.67,3
1271.9,Debit,ATM,47.0,Engineer,155.0,1.0,2120.8,0
26.55,Debit,ATM,77.0,Retired,228.0,1.0,3085.38,0
147.4,Debit,Branch,42.0,Engineer,259.0,1.0,6797.71,1
202.11,Debit,ATM,27.0,Student,18.0,1.0,746.47,0
308.42,Debit,Branch,75.0,Retired,39.0,1.0,5427.81,1
11.18,Debit,ATM,53.0,Engineer,144.0,1.0,7467.3,0
294.15,Debit,Online,38.0,Engineer,136.0,1.0,6362.16,3
139.45,Debit,Online,27.0,Student,31.0,1.0,1305.76,3
432.63,Debit,ATM,29.0,Doctor,137.0,1.0,13648.36,0
131.43,Debit,Online,43.0,Doctor,65.0,1.0,1337.5,3
516.72,Debit,ATM,42.0,Engineer,128.0,1.0,2015.69,0
121.82,Debit,Online,69.0,Doctor,123.0,3.0,8354.54,2
374.5,Credit,Branch,26.0,Student,178.0,1.0,1671.51,1
166.13,Debit,ATM,68.0,Doctor,227.0,1.0,11822.53,0
626.9,Debit,ATM,23.0,Student,146.0,1.0,587.11,0
466.85,Debit,Branch,56.0,Retired,165.0,1.0,5422.53,1
788.84,Debit,Online,58.0,Retired,231.0,1.0,1913.73,3
525.28,Debit,ATM,69.0,Retired,134.0,1.0,4693.6,0
632.69,Debit,ATM,80.0,Retired,76.0,1.0,4363.74,0
124.35,Debit,ATM,72.0,Retired,90.0,1.0,3319.76,0
43.85,Debit,ATM,62.0,Retired,122.0,1.0,4356.98,0
283.81,Debit,Branch,28.0,Student,29.0,1.0,1519.35,1
168.53,Debit,ATM,71.0,Retired,112.0,1.0,5962.58,0
218.59,Credit,Branch,40.0,Engineer,123.0,1.0,6699.23,1
132.84,Debit,ATM,21.0,Student,143.0,1.0,822.73,0
157.37,Credit,Branch,42.0,Doctor,289.0,1.0,13964.31,1
144.77,Debit,Online,20.0,Student,159.0,1.0,867.32,3
643.22,Debit,ATM,64.0,Doctor,93.0,1.0,1035.86,0
1392.54,Debit,Branch,41.0,Doctor,297.0,1.0,13347.69,1
208.07,Debit,Online,32.0,Doctor,36.0,1.0,8478.9,3
295.5,Debit,ATM,59.0,Retired,36.0,1.0,6280.66,0
30.23,Debit,ATM,44.0,Doctor,99.0,1.0,481.13,0
112.05,Credit,ATM,26.0,Student,159.0,1.0,1122.88,0
180.24,Debit,Branch,58.0,Engineer,144.0,1.0,8431.23,1
13.71,Credit,Online,38.0,Engineer,148.0,1.0,8342.79,3
96.54,Debit,Branch,58.0,Retired,95.0,1.0,7182.22,1
79.35,Debit,Online,67.0,Retired,70.0,1.0,1692.15,3
101.04,Debit,ATM,27.0,Student,160.0,1.0,1695.57,0
74.42,Debit,Online,49.0,Engineer,68.0,1.0,6264.21,3
39.66,Debit,Branch,52.0,Engineer,169.0,1.0,8497.34,1
99.36,Debit,ATM,40.0,Doctor,46.0,1.0,1272.12,0
123.85,Debit,Online,56.0,Engineer,244.0,1.0,3959.62,3
426.93,Debit,ATM,19.0,Student,248.0,1.0,476.19,0
133.73,Credit,Online,25.0,Student,123.0,1.0,1872.22,3
222.39,Debit,Online,49.0,Engineer,73.0,1.0,3117.39,3
215.94,Credit,Online,22.0,Student,140.0,1.0,1841.69,3
6.3,Debit,Branch,80.0,Retired,283.0,5.0,7697.68,2
826.23,Debit,ATM,29.0,Doctor,209.0,1.0,7580.59,0
131.46,Debit,Branch,67.0,Retired,258.0,1.0,6642.33,1
202.86,Credit,Branch,61.0,Doctor,149.0,1.0,7642.25,1
268.39,Debit,ATM,26.0,Student,171.0,1.0,136.74,0
194.85,Debit,Online,23.0,Student,130.0,4.0,319.84,2
712.75,Debit,Branch,44.0,Doctor,25.0,1.0,8126.06,1
353.82,Debit,ATM,42.0,Doctor,143.0,1.0,705.75,0
212.74,Debit,Branch,27.0,Engineer,128.0,1.0,7645.47,1
364.42,Debit,ATM,51.0,Engineer,146.0,1.0,8119.73,0
195.12,Debit,ATM,46.0,Doctor,144.0,1.0,6101.15,0
230.61,Debit,Branch,80.0,Retired,204.0,1.0,2561.42,1
739.28,Credit,Branch,58.0,Doctor,47.0,1.0,11905.64,1
390.35,Credit,ATM,64.0,Doctor,61.0,1.0,7095.88,0
242.03,Debit,Online,58.0,Engineer,124.0,1.0,4382.73,3
242.39,Credit,ATM,18.0,Student,271.0,1.0,1328.73,0
135.03,Debit,ATM,23.0,Student,180.0,1.0,1278.0,0
193.54,Debit,Branch,80.0,Retired,267.0,1.0,2929.51,1
775.23,Credit,Online,59.0,Doctor,38.0,1.0,5977.59,3
266.57,Debit,ATM,72.0,Retired,100.0,1.0,7676.92,0
153.4,Debit,ATM,45.0,Engineer,144.0,1.0,4657.7,0
946.94,Debit,Branch,53.0,Retired,251.0,1.0,5579.11,1
5.12,Debit,Branch,34.0,Engineer,90.0,1.0,3293.01,1
119.11,Debit,ATM,57.0,Engineer,131.0,1.0,7998.25,0
1096.7,Debit,Online,24.0,Student,147.0,1.0,1093.89,3
119.72,Debit,Branch,30.0,Engineer,123.0,1.0,3435.34,1
107.4,Debit,Online,58.0,Doctor,32.0,1.0,344.07,3
115.92,Debit,ATM,53.0,Retired,57.0,1.0,3897.17,0
438.04,Debit,ATM,67.0,Retired,247.0,1.0,5358.95,0
677.29,Debit,Online,27.0,Engineer,287.0,1.0,627.79,3
296.0,Debit,Branch,35.0,Doctor,248.0,1.0,7418.82,1
299.09,Credit,Branch,36.0,Engineer,84.0,1.0,5615.26,1
461.52,Credit,Branch,24.0,Student,44.0,1.0,1995.18,1
100.52,Debit,ATM,50.0,Engineer,110.0,1.0,453.39,0
